img1_path,img2_path,label
/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Abel_Pacheco/Abel_Pacheco_0001.jpg,/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Abel_Pacheco/Abel_Pacheco_0004.jpg,1
/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Akhmed_Zakayev/Akhmed_Zakayev_0001.jpg,/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Akhmed_Zakayev/Akhmed_Zakayev_0003.jpg,1
/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Akhmed_Zakayev/Akhmed_Zakayev_0002.jpg,/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Akhmed_Zakayev/Akhmed_Zakayev_0003.jpg,1
/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Amber_Tamblyn/Amber_Tamblyn_0001.jpg,/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Amber_Tamblyn/Amber_Tamblyn_0002.jpg,1
/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0003.jpg,1
/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0004.jpg,1
/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Angela_Bassett/Angela_Bassett_0001.jpg,/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Angela_Bassett/Angela_Bassett_0005.jpg,1
/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Angela_Bassett/Angela_Bassett_0002.jpg,/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Angela_Bassett/Angela_Bassett_0005.jpg,1
/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Angela_Bassett/Angela_Bassett_0003.jpg,/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Angela_Bassett/Angela_Bassett_0004.jpg,1
/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Ann_Veneman/Ann_Veneman_0003.jpg,/Users/amnahameed/Downloads/cv/facial_filter_project/data/lfw_original/Ann_Veneman/Ann_Veneman_0005.jpg,1
